drawing,inscriptions_changed,other_bytes_ids_geometry,after_sha256
CompetencyNet.rnw,4,PRESERVED,867526d9967446b6aefac4f1fc4e33b656682565b9f92238bafda9dc44ef201b
CredentialObject.rnw,4,PRESERVED,58d99a81c37fe1aa17f27ad582a994a817448c0676c1104162bb32e698329298
EvidenceNet.rnw,0,PRESERVED,76e6d3c9489e2ec0ffbfb84ad23414975a3b502ecc0ec8163e5b5a35397d56a0
EvidenceObject.rnw,0,PRESERVED,80d7e066372fbc8ebec486a486082362f7e13abe99c5c9dc47f4c5997bbba08a
HEDULedgerNet.rnw,0,PRESERVED,0ff9aae085212dd0233559149801ea37033b255eb0139fc6a77fd924451544c4
HRAgent.rnw,0,PRESERVED,1e68fa0ad1ac2851276cdd79ff8038bc31f01f8b15a5c872eeec26b7f9a72fab
ProfessorAgent.rnw,0,PRESERVED,a169f319dc89df8896459ee8d231bbfce6a00bf62178ff5f2814ca4a1be4ef35
StudentAgent.rnw,0,PRESERVED,8b07a2406267b8bd964b75d8565ac7a49262f5b40e4e83c90bf5f244c2ea2ab8
SystemNet.rnw,0,PRESERVED,04bc84a59bff43a5ec27947f14635163f472e1e28d433d0a3ce4c9382a7553c3
UniversityAgent.rnw,0,PRESERVED,95725af7b9bd57e7f7665e2ca74a5594b833ace785882cc880633e989c715967
WalletNet.rnw,0,PRESERVED,ecbc5bb8e4bb302ec121380ea058f265f164c3c90849e2a4edd7befa166ada8a
