scenario,termination,outcome
happy,EXPECTED_SUCCESS_TERMINATION,SUCCESS
reject,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED
cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED
expire,EXPECTED_FAILURE_TERMINATION,EXPIRED
grade_reject,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED
ledger_reject,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED
bad_signature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE
bad_issuer_signature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE
grade_reject_waiting,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED
cancel_submitted,EXPECTED_FAILURE_TERMINATION,CANCELLED
cancel_waiting,EXPECTED_FAILURE_TERMINATION,CANCELLED
expire_submitted,EXPECTED_FAILURE_TERMINATION,EXPIRED
expire_waiting,EXPECTED_FAILURE_TERMINATION,EXPIRED
bad_issuer_signature_submitted,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE
bad_issuer_signature_waiting,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE
