execution,outcome,atomic_confirmations,P4,P5,evidence
f01_auto,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f01_auto.txt
f01_ledger_reject,LEDGER_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f01_ledger_reject.txt
f01_reject,HOLDER_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f01_reject.txt
f01_cancel,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f01_cancel.txt
f02_auto,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f02_auto.txt
f03_auto,INVALID_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f03_auto.txt
f03_cancel,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f03_cancel.txt
f04_auto,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f04_auto.txt
f05_auto,HOLDER_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f05_auto.txt
f05_cancel,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f05_cancel.txt
f05_expire,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f05_expire.txt
f06_auto,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f06_auto.txt
f07_auto,INVALID_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f07_auto.txt
f07_cancel,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f07_cancel.txt
f07_expire,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f07_expire.txt
f08_auto,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f08_auto.txt
f09_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f09_auto.txt
f10_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f10_auto.txt
f11_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f11_auto.txt
f12_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f12_auto.txt
f13_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f13_auto.txt
f14_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f14_auto.txt
f15_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f15_auto.txt
f16_auto,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/f16_auto.txt
inter_A_reject_before_wait,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_A_reject_before_wait.txt
inter_A_wait_before_reject,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_A_wait_before_reject.txt
inter_O_wait_before_assessment_pass,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_O_wait_before_assessment_pass.txt
inter_O_wait_before_assessment_fail,EVIDENCE_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_O_wait_before_assessment_fail.txt
inter_cancel_phase0,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_cancel_phase0.txt
inter_cancel_phase1,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_cancel_phase1.txt
inter_cancel_phase2,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_cancel_phase2.txt
inter_expire_phase0,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_expire_phase0.txt
inter_expire_phase1,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_expire_phase1.txt
inter_expire_phase2,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_expire_phase2.txt
inter_issuer_deny_phase0,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_issuer_deny_phase0.txt
inter_issuer_deny_phase1,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_issuer_deny_phase1.txt
inter_issuer_deny_phase2,INVALID_ISSUER_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_issuer_deny_phase2.txt
inter_D_E_accept,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_D_E_accept.txt
inter_D_reject,HOLDER_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_D_reject.txt
inter_G_student_denial,INVALID_SIGNATURE,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_G_student_denial.txt
inter_G_cancel_instead_of_student_denial,CANCELLED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_G_cancel_instead_of_student_denial.txt
inter_F_expiry_excludes_accept,EXPIRED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_F_expiry_excludes_accept.txt
inter_I_ledger_reject,LEDGER_REJECTED,0,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_I_ledger_reject.txt
inter_VP_wallet_g0_s0,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_VP_wallet_g0_s0.txt
inter_VP_wallet_g0_s1,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_VP_wallet_g0_s1.txt
inter_VP_wallet_g0_s2,SUCCESS,1,PASS IN TESTED DOMAIN,PASS IN TESTED DOMAIN,raw/inter_VP_wallet_g0_s2.txt
