net_place,tokens
CompetencyNet.p_Terminated,"[[StudentAgent[2],CredentialObject[39],WalletNet[6],HEDULedgerNet[8],HRAgent[10],int(80),int(50),int(0),int(100),did:example:issuer1,did:example:student1,credential-001,wrong-issuer-signature,did:example:student1,vp-001,INVALID_ISSUER_SIGNATURE]]"
CredentialObject.p_Rejected,"[[int(80),int(50),int(0),int(100),did:example:issuer1,did:example:student1,credential-001,student-signature,issuer-signature,did:example:student1,vp-001,INVALID_ISSUER_SIGNATURE]]"
EvidenceNet.p_Graded,"[[EvidenceObject[29],did:example:student1,bafyEvidence001,int(50),did:example:assessor1,int(80),https://example.org/criteria]]"
EvidenceObject.p_Graded,"[[did:example:student1,bafyEvidence001,did:example:assessor1,int(80),https://example.org/criteria]]"
HEDULedgerNet.p_Received,[[]]
HRAgent.p_Idle,[[]]
ProfessorAgent.p_Approved,"[[StudentAgent[2],UniversityAgent[12],CompetencyNet[14],WalletNet[6],HEDULedgerNet[8],HRAgent[10],EvidenceNet[16],int(80),int(50),int(0),int(100),did:example:assessor1,https://example.org/criteria]]"
StudentAgent.p_Rejected,"[[ProfessorAgent[4],UniversityAgent[12],EvidenceNet[16],CompetencyNet[14],WalletNet[6],HEDULedgerNet[8],HRAgent[10],int(80),int(50),int(0),int(100),did:example:student1,bafyEvidence001,student-signature,INVALID_ISSUER_SIGNATURE]]"
SystemNet.p_CompetencyPool,[CompetencyNet[14]]
SystemNet.p_EvidencePool,[EvidenceNet[16]]
SystemNet.p_HRPool,[HRAgent[10]]
SystemNet.p_LedgerPool,[HEDULedgerNet[8]]
SystemNet.p_ProfessorPool,[ProfessorAgent[4]]
SystemNet.p_StudentPool,[StudentAgent[2]]
SystemNet.p_UniversityPool,[UniversityAgent[12]]
SystemNet.p_WalletPool,[WalletNet[6]]
UniversityAgent.p_CredentialIssued,"[[StudentAgent[2],CompetencyNet[14],WalletNet[6],HEDULedgerNet[8],HRAgent[10],int(80),int(50),int(0),int(100),did:example:issuer1,did:example:student1,credential-001]]"
WalletNet.p_Rejected,"[[CompetencyNet[14],did:example:issuer1,did:example:student1,credential-001,INVALID_ISSUER_SIGNATURE]]"
