execution,grade,current_time,student_signature_class,issuer_signature_class,decision_trace_id,transition_sequence,final_classification,final_outcome,enabled_bindings_at_end,active_unfinished,retained_references,violated_properties
inter_A_reject_before_wait,40,0,valid,valid,inter_A_reject_before_wait,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
inter_A_wait_before_reject,40,0,valid,valid,inter_A_wait_before_reject,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;StudentAgent.t_WaitCredential;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
inter_O_wait_before_assessment_pass,80,0,valid,valid,inter_O_wait_before_assessment_pass,StudentAgent.t_SubmitEvidence;StudentAgent.t_WaitCredential;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_GenerateVP;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_O_wait_before_assessment_fail,40,0,valid,valid,inter_O_wait_before_assessment_fail,StudentAgent.t_SubmitEvidence;StudentAgent.t_WaitCredential;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_RejectEvidence,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,0,0,10/10,
inter_cancel_phase0,80,0,valid,valid,inter_cancel_phase0,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
inter_cancel_phase1,80,0,valid,valid,inter_cancel_phase1,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
inter_cancel_phase2,80,0,valid,valid,inter_cancel_phase2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,0,0,11/11,
inter_expire_phase0,80,100,valid,valid,inter_expire_phase0,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
inter_expire_phase1,80,100,valid,valid,inter_expire_phase1,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
inter_expire_phase2,80,100,valid,valid,inter_expire_phase2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;CompetencyNet.t_SBT_Expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,0,0,11/11,
