execution,roots,completed_workflows,expected_failures,unfinished_workflows,reference_isolation,cross_root_synchronizations,runtime_ms,evidence
roots1_run01,1,1,0,0,PASS IN TESTED DOMAIN,0,275.0047,raw/roots1_run01.txt
roots1_run02,1,1,0,0,PASS IN TESTED DOMAIN,0,383.0235,raw/roots1_run02.txt
roots1_run03,1,1,0,0,PASS IN TESTED DOMAIN,0,440.4988,raw/roots1_run03.txt
roots1_run04,1,1,0,0,PASS IN TESTED DOMAIN,0,342.4714,raw/roots1_run04.txt
roots1_run05,1,1,0,0,PASS IN TESTED DOMAIN,0,403.0777,raw/roots1_run05.txt
roots1_run06,1,1,0,0,PASS IN TESTED DOMAIN,0,426.1322,raw/roots1_run06.txt
roots1_run07,1,1,0,0,PASS IN TESTED DOMAIN,0,491.4467,raw/roots1_run07.txt
roots1_run08,1,1,0,0,PASS IN TESTED DOMAIN,0,668.8148,raw/roots1_run08.txt
roots1_run09,1,1,0,0,PASS IN TESTED DOMAIN,0,366.6072,raw/roots1_run09.txt
roots1_run10,1,1,0,0,PASS IN TESTED DOMAIN,0,391.5804,raw/roots1_run10.txt
roots2_run01,2,2,0,0,PASS IN TESTED DOMAIN,0,461.6725,raw/roots2_run01.txt
roots2_run02,2,2,0,0,PASS IN TESTED DOMAIN,0,481.3804,raw/roots2_run02.txt
roots2_run03,2,2,0,0,PASS IN TESTED DOMAIN,0,449.5608,raw/roots2_run03.txt
roots2_run04,2,2,0,0,PASS IN TESTED DOMAIN,0,496.4525,raw/roots2_run04.txt
roots2_run05,2,2,0,0,PASS IN TESTED DOMAIN,0,505.1314,raw/roots2_run05.txt
roots2_run06,2,2,0,0,PASS IN TESTED DOMAIN,0,525.1777,raw/roots2_run06.txt
roots2_run07,2,2,0,0,PASS IN TESTED DOMAIN,0,512.7492,raw/roots2_run07.txt
roots2_run08,2,2,0,0,PASS IN TESTED DOMAIN,0,476.4403,raw/roots2_run08.txt
roots2_run09,2,2,0,0,PASS IN TESTED DOMAIN,0,456.3997,raw/roots2_run09.txt
roots2_run10,2,2,0,0,PASS IN TESTED DOMAIN,0,491.5852,raw/roots2_run10.txt
roots5_run01,5,5,0,0,PASS IN TESTED DOMAIN,0,776.1671,raw/roots5_run01.txt
roots5_run02,5,5,0,0,PASS IN TESTED DOMAIN,0,868.2414,raw/roots5_run02.txt
roots5_run03,5,5,0,0,PASS IN TESTED DOMAIN,0,886.1202,raw/roots5_run03.txt
roots5_run04,5,5,0,0,PASS IN TESTED DOMAIN,0,873.4475,raw/roots5_run04.txt
roots5_run05,5,5,0,0,PASS IN TESTED DOMAIN,0,921.6889,raw/roots5_run05.txt
roots5_run06,5,5,0,0,PASS IN TESTED DOMAIN,0,923.1818,raw/roots5_run06.txt
roots5_run07,5,5,0,0,PASS IN TESTED DOMAIN,0,861.1942,raw/roots5_run07.txt
roots5_run08,5,5,0,0,PASS IN TESTED DOMAIN,0,887.4069,raw/roots5_run08.txt
roots5_run09,5,5,0,0,PASS IN TESTED DOMAIN,0,856.1247,raw/roots5_run09.txt
roots5_run10,5,5,0,0,PASS IN TESTED DOMAIN,0,895.1716,raw/roots5_run10.txt
roots10_run01,10,10,0,0,PASS IN TESTED DOMAIN,0,1722.3514,raw/roots10_run01.txt
roots10_run02,10,10,0,0,PASS IN TESTED DOMAIN,0,1576.7474,raw/roots10_run02.txt
roots10_run03,10,10,0,0,PASS IN TESTED DOMAIN,0,1447.9097,raw/roots10_run03.txt
roots10_run04,10,10,0,0,PASS IN TESTED DOMAIN,0,1871.4424,raw/roots10_run04.txt
roots10_run05,10,10,0,0,PASS IN TESTED DOMAIN,0,1428.3603,raw/roots10_run05.txt
roots10_run06,10,10,0,0,PASS IN TESTED DOMAIN,0,1326.0507,raw/roots10_run06.txt
roots10_run07,10,10,0,0,PASS IN TESTED DOMAIN,0,1305.8466,raw/roots10_run07.txt
roots10_run08,10,10,0,0,PASS IN TESTED DOMAIN,0,1356.3346,raw/roots10_run08.txt
roots10_run09,10,10,0,0,PASS IN TESTED DOMAIN,0,1334.1707,raw/roots10_run09.txt
roots10_run10,10,10,0,0,PASS IN TESTED DOMAIN,0,1612.8978,raw/roots10_run10.txt
