scenario,n,mean,median,stddev,min,max,p95
bad_issuer_signature,30,351.63895333333335,335.09375,52.85365374575042,283.6322,509.9916,435.2618
bad_issuer_signature_submitted,30,335.44801333333334,331.40999999999997,38.19175137453504,281.6034,444.3539,413.5947
bad_issuer_signature_waiting,30,353.97255666666666,342.35725,55.5211335959541,289.9481,558.8698,452.5573
bad_signature,30,334.22378,318.60765000000004,38.26359849753125,286.8073,424.3171,424.0741
cancel,30,348.81663000000003,339.2609,60.114591158244295,283.6437,615.3671,434.6571
cancel_submitted,30,336.5297033333333,326.224,39.488543305801066,276.4393,479.2757,400.2044
cancel_waiting,30,333.7536133333333,333.90845,28.696305093173684,282.1051,387.466,381.1027
expire,30,429.72995333333336,350.48905,197.19636430537042,312.2163,1153.8837,963.9081
expire_submitted,30,336.53433666666666,323.40075,40.855620012888984,280.8199,456.2594,420.4814
expire_waiting,30,335.73187,324.8414,29.578125994321642,298.9811,409.6163,408.9493
grade_reject,30,273.80527666666666,266.47685,34.20952830624303,232.5718,401.5986,323.8576
grade_reject_waiting,30,276.12597666666665,257.877,85.56610659183922,201.2289,684.5216,394.6529
happy,30,477.0688533333333,437.14965,118.16131823093473,357.9037,801.0345,719.4814
ledger_reject,30,437.70333666666664,409.22490000000005,87.30693426064197,325.1519,679.4008,599.4483
reject,30,380.2236266666667,354.98505,97.07300900480448,301.2929,799.1562,512.7466
