kind,execution,fixture_id,final_classification,final_outcome,violated_properties,raw_evidence
baseline,happy,happy,EXPECTED_SUCCESS_TERMINATION,SUCCESS,,baseline_validation.txt
baseline,reject,reject,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,,baseline_validation.txt
baseline,cancel,cancel,EXPECTED_FAILURE_TERMINATION,CANCELLED,,baseline_validation.txt
baseline,expire,expire,EXPECTED_FAILURE_TERMINATION,EXPIRED,,baseline_validation.txt
baseline,grade_reject,grade_reject,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,,baseline_validation.txt
baseline,ledger_reject,ledger_reject,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED,,baseline_validation.txt
baseline,bad_signature,bad_signature,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,,baseline_validation.txt
baseline,bad_issuer_signature,bad_issuer_signature,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,baseline_validation.txt
baseline,grade_reject_waiting,grade_reject_waiting,EXPECTED_FAILURE_TERMINATION,EVIDENCE_REJECTED,,baseline_validation.txt
baseline,cancel_submitted,cancel_submitted,EXPECTED_FAILURE_TERMINATION,CANCELLED,,baseline_validation.txt
baseline,cancel_waiting,cancel_waiting,EXPECTED_FAILURE_TERMINATION,CANCELLED,,baseline_validation.txt
baseline,expire_submitted,expire_submitted,EXPECTED_FAILURE_TERMINATION,EXPIRED,,baseline_validation.txt
baseline,expire_waiting,expire_waiting,EXPECTED_FAILURE_TERMINATION,EXPIRED,,baseline_validation.txt
baseline,bad_issuer_signature_submitted,bad_issuer_signature_submitted,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,baseline_validation.txt
baseline,bad_issuer_signature_waiting,bad_issuer_signature_waiting,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,baseline_validation.txt
focused_P7_replay,bad_issuer_signature,valid_student_invalid_issuer,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,focused_p7_native.txt
representative,f01_auto,f01,EXPECTED_SUCCESS_TERMINATION,SUCCESS,,raw/f01_auto.txt
representative,f01_ledger_reject,f01,EXPECTED_FAILURE_TERMINATION,LEDGER_REJECTED,,raw/f01_ledger_reject.txt
representative,f01_reject,f01,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,,raw/f01_reject.txt
representative,f01_cancel,f01,EXPECTED_FAILURE_TERMINATION,CANCELLED,,raw/f01_cancel.txt
representative,f02_auto,f02,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,raw/f02_auto.txt
representative,f03_auto,f03,EXPECTED_FAILURE_TERMINATION,INVALID_SIGNATURE,,raw/f03_auto.txt
representative,f03_cancel,f03,EXPECTED_FAILURE_TERMINATION,CANCELLED,,raw/f03_cancel.txt
representative,f04_auto,f04,EXPECTED_FAILURE_TERMINATION,INVALID_ISSUER_SIGNATURE,,raw/f04_auto.txt
representative,f05_auto,f05,EXPECTED_FAILURE_TERMINATION,HOLDER_REJECTED,,raw/f05_auto.txt
representative,f05_cancel,f05,EXPECTED_FAILURE_TERMINATION,CANCELLED,,raw/f05_cancel.txt
