transition,status,evidence_or_argument
SystemNet.t_CreateStudent,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateProfessor,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateUniversity,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateCompetency,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateWallet,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateLedger,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
SystemNet.t_CreateHR,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_PrepareEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_SubmitEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_WaitCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_ReceiveCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AcceptCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_RejectCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_GenerateVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_ShareVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AbortSubmitted,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AbortWaiting,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AbortReceived,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AbortAwaitingAnchor,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_DenyInvalidSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
StudentAgent.t_AnchorConfirmed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
ProfessorAgent.t_ReceiveEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
ProfessorAgent.t_StartReview,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
ProfessorAgent.t_AssessEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
ProfessorAgent.t_ApproveEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
ProfessorAgent.t_RejectEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
UniversityAgent.t_ReceiveEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
UniversityAgent.t_VerifyEvidence,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
UniversityAgent.t_RequestCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
UniversityAgent.t_IssueCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
UniversityAgent.t_RejectEvidence,STRUCTURALLY EXCLUDED IN TEST DOMAIN,Professor forwards only grade >= threshold; University rejection requires grade < threshold with the same unchanged grade.
EvidenceNet.t_IPFS_Upload,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceNet.t_LMS_Submit,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceNet.t_Review_Request,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceNet.t_Grade_Assign,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceNet.t_Reject,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_Review_Init,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_Verification_Pass,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_SBT_Mint,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_SBT_Accept,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_SBT_Reject,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_SBT_Cancel,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_SBT_Expire,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_Agg_Ingest,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_DenyInvalidSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_DenyInvalidIssuerSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_AnchorConfirmed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CompetencyNet.t_LedgerFailed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_ReceiveCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_RequestConsent,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_AcceptCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_RejectCredential,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_GenerateVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_ShareVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_AbortReceived,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_AbortConsent,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_AbortAwaitingAnchor,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_DenyInvalidSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
WalletNet.t_AnchorConfirmed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Execute,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Order,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Validate,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Commit,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Anchor,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HEDULedgerNet.t_Reject,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_ReceiveVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_ParseVP,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_BuildProfile,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_SemanticMatch,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_GapAnalysis,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
HRAgent.t_GenerateResult,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceObject.t_IPFS_Upload,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceObject.t_LMS_Submit,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
EvidenceObject.t_Grade_Assign,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_StartReview,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Validate,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Mint,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Accept,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Reject,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Cancel,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Expire,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_Aggregate,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_DenyInvalidSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_DenyInvalidIssuerSignature,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_AnchorConfirmed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
CredentialObject.t_LedgerFailed,OBSERVED,Native fired binding/verified atomic bootstrap; raw logs and baseline logs
