execution,root,checkpoint,created_instances,reachable_instances,active_instances,lost_references
f01_auto,0,creation,9,9,1,0
f01_auto,0,after:StudentAgent.t_SubmitEvidence,10,10,4,0
f01_auto,0,after:EvidenceNet.t_LMS_Submit,10,10,4,0
f01_auto,0,after:EvidenceNet.t_Review_Request,10,10,4,0
f01_auto,0,after:ProfessorAgent.t_StartReview,10,10,4,0
f01_auto,0,after:ProfessorAgent.t_AssessEvidence,10,10,4,0
f01_auto,0,after:ProfessorAgent.t_ApproveEvidence,10,10,5,0
f01_auto,0,after:UniversityAgent.t_VerifyEvidence,10,10,5,0
f01_auto,0,after:UniversityAgent.t_RequestCredential,11,11,7,0
f01_auto,0,after:CompetencyNet.t_Verification_Pass,11,11,7,0
f01_auto,0,after:UniversityAgent.t_IssueCredential,11,11,8,0
f01_auto,0,after:StudentAgent.t_WaitCredential,11,11,8,0
f01_auto,0,after:StudentAgent.t_ReceiveCredential,11,11,8,0
f01_auto,0,after:StudentAgent.t_AcceptCredential,11,11,9,0
f01_auto,0,after:HEDULedgerNet.t_Order,11,11,9,0
f01_auto,0,after:HEDULedgerNet.t_Validate,11,11,9,0
f01_auto,0,after:HEDULedgerNet.t_Commit,11,11,9,0
f01_auto,0,after:HEDULedgerNet.t_Anchor,11,11,9,0
f01_auto,0,after:StudentAgent.t_GenerateVP,11,11,9,0
f01_auto,0,after:StudentAgent.t_ShareVP,11,11,10,0
f01_auto,0,after:HRAgent.t_ParseVP,11,11,10,0
f01_auto,0,after:CompetencyNet.t_Agg_Ingest,11,11,10,0
f01_auto,0,after:HRAgent.t_SemanticMatch,11,11,10,0
f01_auto,0,after:HRAgent.t_GapAnalysis,11,11,10,0
f01_auto,0,after:HRAgent.t_GenerateResult,11,11,10,0
f01_auto,0,after:WalletNet.t_GenerateVP,11,11,10,0
f01_auto,0,after:WalletNet.t_ShareVP,11,11,10,0
f01_auto,0,terminal,11,11,10,0
f01_ledger_reject,0,creation,9,9,1,0
f01_ledger_reject,0,after:StudentAgent.t_SubmitEvidence,10,10,4,0
f01_ledger_reject,0,after:EvidenceNet.t_LMS_Submit,10,10,4,0
f01_ledger_reject,0,after:EvidenceNet.t_Review_Request,10,10,4,0
f01_ledger_reject,0,after:ProfessorAgent.t_StartReview,10,10,4,0
f01_ledger_reject,0,after:ProfessorAgent.t_AssessEvidence,10,10,4,0
f01_ledger_reject,0,after:ProfessorAgent.t_ApproveEvidence,10,10,5,0
f01_ledger_reject,0,after:UniversityAgent.t_VerifyEvidence,10,10,5,0
f01_ledger_reject,0,after:UniversityAgent.t_RequestCredential,11,11,7,0
f01_ledger_reject,0,after:CompetencyNet.t_Verification_Pass,11,11,7,0
f01_ledger_reject,0,after:UniversityAgent.t_IssueCredential,11,11,8,0
f01_ledger_reject,0,after:StudentAgent.t_WaitCredential,11,11,8,0
f01_ledger_reject,0,after:StudentAgent.t_ReceiveCredential,11,11,8,0
