scenario,run,runtime_ms,transition_firings,final_outcome,success
happy,1,413.0046,60,SUCCESS,True
happy,2,701.8932,60,SUCCESS,True
happy,3,801.0345,60,SUCCESS,True
happy,4,719.4814,60,SUCCESS,True
happy,5,696.813,60,SUCCESS,True
happy,6,637.9889,60,SUCCESS,True
happy,7,488.1599,60,SUCCESS,True
happy,8,536.5142,60,SUCCESS,True
happy,9,504.6107,60,SUCCESS,True
happy,10,433.7061,60,SUCCESS,True
happy,11,382.2264,60,SUCCESS,True
happy,12,440.5932,60,SUCCESS,True
happy,13,405.515,60,SUCCESS,True
happy,14,387.4263,60,SUCCESS,True
happy,15,490.0628,60,SUCCESS,True
happy,16,373.1593,60,SUCCESS,True
happy,17,357.9037,60,SUCCESS,True
happy,18,421.9006,60,SUCCESS,True
happy,19,375.0645,60,SUCCESS,True
happy,20,520.4784,60,SUCCESS,True
happy,21,371.1238,60,SUCCESS,True
happy,22,393.7632,60,SUCCESS,True
happy,23,416.3867,60,SUCCESS,True
happy,24,380.6738,60,SUCCESS,True
happy,25,400.5575,60,SUCCESS,True
happy,26,454.4056,60,SUCCESS,True
happy,27,430.6147,60,SUCCESS,True
happy,28,489.7821,60,SUCCESS,True
happy,29,445.7906,60,SUCCESS,True
happy,30,441.4309,60,SUCCESS,True
reject,1,321.2306,39,HOLDER_REJECTED,True
reject,2,322.4926,39,HOLDER_REJECTED,True
reject,3,403.8114,39,HOLDER_REJECTED,True
reject,4,381.9094,39,HOLDER_REJECTED,True
reject,5,319.9862,39,HOLDER_REJECTED,True
reject,6,325.1065,39,HOLDER_REJECTED,True
reject,7,330.1269,39,HOLDER_REJECTED,True
reject,8,336.1946,39,HOLDER_REJECTED,True
reject,9,324.7291,39,HOLDER_REJECTED,True
reject,10,306.8521,39,HOLDER_REJECTED,True
reject,11,321.0729,39,HOLDER_REJECTED,True
reject,12,427.2485,39,HOLDER_REJECTED,True
reject,13,512.7466,39,HOLDER_REJECTED,True
reject,14,799.1562,39,HOLDER_REJECTED,True
reject,15,441.081,39,HOLDER_REJECTED,True
reject,16,445.6059,39,HOLDER_REJECTED,True
reject,17,507.9589,39,HOLDER_REJECTED,True
reject,18,355.5038,39,HOLDER_REJECTED,True
reject,19,354.4663,39,HOLDER_REJECTED,True
reject,20,378.3478,39,HOLDER_REJECTED,True
reject,21,401.3101,39,HOLDER_REJECTED,True
reject,22,319.1669,39,HOLDER_REJECTED,True
reject,23,309.7644,39,HOLDER_REJECTED,True
reject,24,390.5769,39,HOLDER_REJECTED,True
reject,25,381.4699,39,HOLDER_REJECTED,True
reject,26,352.0372,39,HOLDER_REJECTED,True
reject,27,360.6196,39,HOLDER_REJECTED,True
reject,28,366.175,39,HOLDER_REJECTED,True
reject,29,308.6686,39,HOLDER_REJECTED,True
reject,30,301.2929,39,HOLDER_REJECTED,True
cancel,1,341.1823,39,CANCELLED,True
cancel,2,340.0372,39,CANCELLED,True
cancel,3,368.9695,39,CANCELLED,True
cancel,4,327.7958,39,CANCELLED,True
cancel,5,325.2588,39,CANCELLED,True
cancel,6,307.7163,39,CANCELLED,True
cancel,7,309.0192,39,CANCELLED,True
cancel,8,324.9684,39,CANCELLED,True
cancel,9,290.8083,39,CANCELLED,True
cancel,10,283.6437,39,CANCELLED,True
cancel,11,358.7503,39,CANCELLED,True
cancel,12,302.8328,39,CANCELLED,True
cancel,13,415.82,39,CANCELLED,True
cancel,14,368.146,39,CANCELLED,True
cancel,15,295.3563,39,CANCELLED,True
cancel,16,338.4846,39,CANCELLED,True
cancel,17,342.3611,39,CANCELLED,True
cancel,18,353.6816,39,CANCELLED,True
cancel,19,615.3671,39,CANCELLED,True
cancel,20,361.6186,39,CANCELLED,True
cancel,21,340.1571,39,CANCELLED,True
cancel,22,328.4001,39,CANCELLED,True
cancel,23,353.3265,39,CANCELLED,True
cancel,24,329.3998,39,CANCELLED,True
cancel,25,434.6571,39,CANCELLED,True
cancel,26,336.1374,39,CANCELLED,True
cancel,27,331.9205,39,CANCELLED,True
cancel,28,340.9993,39,CANCELLED,True
cancel,29,378.1844,39,CANCELLED,True
cancel,30,319.4988,39,CANCELLED,True
expire,1,498.7359,39,EXPIRED,True
expire,2,1153.8837,39,EXPIRED,True
expire,3,526.874,39,EXPIRED,True
expire,4,791.8107,39,EXPIRED,True
expire,5,963.9081,39,EXPIRED,True
expire,6,450.5631,39,EXPIRED,True
expire,7,507.63,39,EXPIRED,True
expire,8,337.7282,39,EXPIRED,True
expire,9,370.0252,39,EXPIRED,True
expire,10,312.2163,39,EXPIRED,True
expire,11,326.877,39,EXPIRED,True
expire,12,377.4941,39,EXPIRED,True
expire,13,325.3259,39,EXPIRED,True
expire,14,345.5949,39,EXPIRED,True
expire,15,334.7767,39,EXPIRED,True
expire,16,333.7576,39,EXPIRED,True
expire,17,352.7569,39,EXPIRED,True
expire,18,325.2543,39,EXPIRED,True
expire,19,333.6925,39,EXPIRED,True
expire,20,404.4166,39,EXPIRED,True
expire,21,337.1418,39,EXPIRED,True
expire,22,348.918,39,EXPIRED,True
expire,23,332.8732,39,EXPIRED,True
expire,24,373.5467,39,EXPIRED,True
expire,25,394.7981,39,EXPIRED,True
expire,26,352.0601,39,EXPIRED,True
expire,27,331.6894,39,EXPIRED,True
expire,28,346.4055,39,EXPIRED,True
expire,29,342.7918,39,EXPIRED,True
expire,30,358.3523,39,EXPIRED,True
grade_reject,1,232.6714,22,EVIDENCE_REJECTED,True
grade_reject,2,247.3727,22,EVIDENCE_REJECTED,True
grade_reject,3,272.1368,22,EVIDENCE_REJECTED,True
grade_reject,4,401.5986,22,EVIDENCE_REJECTED,True
grade_reject,5,277.6513,22,EVIDENCE_REJECTED,True
grade_reject,6,264.3858,22,EVIDENCE_REJECTED,True
grade_reject,7,266.7649,22,EVIDENCE_REJECTED,True
grade_reject,8,252.493,22,EVIDENCE_REJECTED,True
grade_reject,9,303.6896,22,EVIDENCE_REJECTED,True
grade_reject,10,304.118,22,EVIDENCE_REJECTED,True
grade_reject,11,312.0798,22,EVIDENCE_REJECTED,True
grade_reject,12,233.7175,22,EVIDENCE_REJECTED,True
grade_reject,13,270.2227,22,EVIDENCE_REJECTED,True
grade_reject,14,258.8982,22,EVIDENCE_REJECTED,True
grade_reject,15,232.5718,22,EVIDENCE_REJECTED,True
grade_reject,16,259.0404,22,EVIDENCE_REJECTED,True
grade_reject,17,323.8576,22,EVIDENCE_REJECTED,True
grade_reject,18,285.1955,22,EVIDENCE_REJECTED,True
grade_reject,19,246.3276,22,EVIDENCE_REJECTED,True
grade_reject,20,317.6008,22,EVIDENCE_REJECTED,True
grade_reject,21,244.2626,22,EVIDENCE_REJECTED,True
grade_reject,22,280.7119,22,EVIDENCE_REJECTED,True
grade_reject,23,265.3083,22,EVIDENCE_REJECTED,True
grade_reject,24,266.1888,22,EVIDENCE_REJECTED,True
grade_reject,25,270.2595,22,EVIDENCE_REJECTED,True
grade_reject,26,272.7649,22,EVIDENCE_REJECTED,True
grade_reject,27,284.143,22,EVIDENCE_REJECTED,True
grade_reject,28,246.5395,22,EVIDENCE_REJECTED,True
grade_reject,29,262.805,22,EVIDENCE_REJECTED,True
grade_reject,30,258.7808,22,EVIDENCE_REJECTED,True
ledger_reject,1,352.5217,46,LEDGER_REJECTED,True
ledger_reject,2,500.6942,46,LEDGER_REJECTED,True
ledger_reject,3,411.9209,46,LEDGER_REJECTED,True
ledger_reject,4,439.655,46,LEDGER_REJECTED,True
ledger_reject,5,382.8537,46,LEDGER_REJECTED,True
ledger_reject,6,409.3106,46,LEDGER_REJECTED,True
ledger_reject,7,352.6637,46,LEDGER_REJECTED,True
ledger_reject,8,356.6578,46,LEDGER_REJECTED,True
ledger_reject,9,464.0495,46,LEDGER_REJECTED,True
ledger_reject,10,561.3156,46,LEDGER_REJECTED,True
ledger_reject,11,348.7536,46,LEDGER_REJECTED,True
ledger_reject,12,419.3561,46,LEDGER_REJECTED,True
ledger_reject,13,599.4483,46,LEDGER_REJECTED,True
ledger_reject,14,679.4008,46,LEDGER_REJECTED,True
ledger_reject,15,572.3141,46,LEDGER_REJECTED,True
ledger_reject,16,557.9341,46,LEDGER_REJECTED,True
ledger_reject,17,532.6958,46,LEDGER_REJECTED,True
ledger_reject,18,476.6166,46,LEDGER_REJECTED,True
ledger_reject,19,376.0418,46,LEDGER_REJECTED,True
ledger_reject,20,381.89,46,LEDGER_REJECTED,True
ledger_reject,21,355.5328,46,LEDGER_REJECTED,True
ledger_reject,22,409.1392,46,LEDGER_REJECTED,True
ledger_reject,23,408.1457,46,LEDGER_REJECTED,True
ledger_reject,24,386.2459,46,LEDGER_REJECTED,True
ledger_reject,25,380.5886,46,LEDGER_REJECTED,True
ledger_reject,26,444.4006,46,LEDGER_REJECTED,True
ledger_reject,27,325.1519,46,LEDGER_REJECTED,True
ledger_reject,28,375.1235,46,LEDGER_REJECTED,True
ledger_reject,29,406.0014,46,LEDGER_REJECTED,True
ledger_reject,30,464.6766,46,LEDGER_REJECTED,True
bad_signature,1,363.0212,39,INVALID_SIGNATURE,True
bad_signature,2,303.8507,39,INVALID_SIGNATURE,True
bad_signature,3,388.2577,39,INVALID_SIGNATURE,True
bad_signature,4,386.9823,39,INVALID_SIGNATURE,True
bad_signature,5,341.0797,39,INVALID_SIGNATURE,True
bad_signature,6,354.8778,39,INVALID_SIGNATURE,True
bad_signature,7,328.2484,39,INVALID_SIGNATURE,True
bad_signature,8,312.0769,39,INVALID_SIGNATURE,True
bad_signature,9,304.9608,39,INVALID_SIGNATURE,True
bad_signature,10,309.2396,39,INVALID_SIGNATURE,True
bad_signature,11,298.9826,39,INVALID_SIGNATURE,True
bad_signature,12,312.6696,39,INVALID_SIGNATURE,True
bad_signature,13,294.1995,39,INVALID_SIGNATURE,True
bad_signature,14,424.0741,39,INVALID_SIGNATURE,True
bad_signature,15,359.9153,39,INVALID_SIGNATURE,True
bad_signature,16,298.222,39,INVALID_SIGNATURE,True
bad_signature,17,424.3171,39,INVALID_SIGNATURE,True
bad_signature,18,313.5729,39,INVALID_SIGNATURE,True
bad_signature,19,302.7951,39,INVALID_SIGNATURE,True
bad_signature,20,338.1028,39,INVALID_SIGNATURE,True
bad_signature,21,318.3204,39,INVALID_SIGNATURE,True
bad_signature,22,318.5555,39,INVALID_SIGNATURE,True
bad_signature,23,320.7655,39,INVALID_SIGNATURE,True
bad_signature,24,314.8147,39,INVALID_SIGNATURE,True
bad_signature,25,322.9338,39,INVALID_SIGNATURE,True
bad_signature,26,318.6598,39,INVALID_SIGNATURE,True
bad_signature,27,305.6834,39,INVALID_SIGNATURE,True
bad_signature,28,286.8073,39,INVALID_SIGNATURE,True
bad_signature,29,401.4983,39,INVALID_SIGNATURE,True
bad_signature,30,359.2286,39,INVALID_SIGNATURE,True
bad_issuer_signature,1,399.8298,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,2,312.9064,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,3,375.3164,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,4,509.9916,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,5,384.6824,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,6,435.2618,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,7,396.5,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,8,385.9493,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,9,318.5969,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,10,331.7425,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,11,365.9107,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,12,333.9454,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,13,347.819,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,14,337.5015,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,15,290.9573,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,16,336.2421,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,17,327.7438,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,18,423.7503,39,INVALID_ISSUER_SIGNATURE,True
bad_issuer_signature,19,341.4864,39,INVALID_ISSUER_SIGNATURE,True
